"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"서울특별시 은평구 대조동(1138057000)","45.7","46.5"
"서울특별시 은평구 응암제1동(1138058000)","43.7","45.5"
"서울특별시 은평구 응암제2동(1138059000)","41.5","43.8"
"서울특별시 은평구 응암제3동(1138060000)","48.3","51.3"
"서울특별시 은평구 역촌동(1138062500)","46.2","48.4"
"서울특별시 은평구 신사제1동(1138063100)","46.2","48.6"
"서울특별시 은평구 신사제2동(1138063200)","46.4","49.1"
"서울특별시 은평구 증산동(1138064000)","45.3","46.9"
"서울특별시 은평구 수색동(1138065000)","42.3","44.3"
"서울특별시 은평구 진관동(1138069000)","43.3","44.5"
"서울특별시 서대문구 (1141000000)","44.3","46"
"서울특별시 서대문구 천연동(1141052000)","45.3","47.7"
"서울특별시 서대문구 북아현동(1141055500)","42.7","44.3"
"서울특별시 서대문구 충현동(1141056500)","44.9","45.8"
"서울특별시 서대문구 신촌동(1141058500)","38.9","36.5"
"서울특별시 서대문구 연희동(1141061500)","43.2","45.6"
"서울특별시 서대문구 홍제제1동(1141062000)","45.9","47.7"
"서울특별시 서대문구 홍제제3동(1141064000)","46.4","49.2"
"서울특별시 서대문구 홍제제2동(1141065500)","46.5","49.4"
"서울특별시 서대문구 홍은제1동(1141066000)","46.5","48.8"
"서울특별시 서대문구 홍은제2동(1141068500)","45","47.2"
"서울특별시 서대문구 남가좌제1동(1141069000)","40.5","41.9"
"서울특별시 서대문구 남가좌제2동(1141070000)","42.9","44.6"
"서울특별시 서대문구 북가좌제1동(1141071000)","43.9","46.1"
"서울특별시 서대문구 북가좌제2동(1141072000)","46.8","49.3"
"서울특별시 마포구 (1144000000)","43","44.2"
"서울특별시 마포구 아현동(1144055500)","41.2","41.6"
"서울특별시 마포구 공덕동(1144056500)","44.6","45.7"
"서울특별시 마포구 도화동(1144058500)","44.3","46.6"
"서울특별시 마포구 용강동(1144059000)","42","42.9"
"서울특별시 마포구 대흥동(1144060000)","41.8","42.2"
"서울특별시 마포구 염리동(1144061000)","40.5","41.8"
"서울특별시 마포구 신수동(1144063000)","42.5","44.7"
"서울특별시 마포구 서강동(1144065500)","41.5","43.2"
"서울특별시 마포구 서교동(1144066000)","42.5","42.7"
"서울특별시 마포구 합정동(1144068000)","43.9","44.9"
"서울특별시 마포구 망원제1동(1144069000)","44.9","46.5"
"서울특별시 마포구 망원제2동(1144070000)","44.7","46.2"
"서울특별시 마포구 연남동(1144071000)","43.5","44.9"
"서울특별시 마포구 성산제1동(1144072000)","44.2","45.4"
"서울특별시 마포구 성산제2동(1144073000)","43.7","44.4"
"서울특별시 마포구 상암동(1144074000)","42","43.4"
"서울특별시 양천구 (1147000000)","43.9","45.7"
"서울특별시 양천구 목1동(1147051000)","40.4","40.8"
"서울특별시 양천구 목2동(1147052000)","43.7","45.6"
"서울특별시 양천구 목3동(1147053000)","44.5","46.7"
"서울특별시 양천구 목4동(1147054000)","42.9","45.1"
"서울특별시 양천구 목5동(1147055000)","40","41.7"
"서울특별시 양천구 신월1동(1147056000)","49.3","51.2"
"서울특별시 양천구 신월2동(1147057000)","45.5","47.4"
"서울특별시 양천구 신월3동(1147058000)","48.4","50"
"서울특별시 양천구 신월4동(1147059000)","45.7","48"
